"利用日/キャンセル日","利用店名・商品名","利用者","決済方法","支払区分","利用金額","手数料","支払総額","当月支払金額","翌月以降繰越金額","調整額","当月お支払日"
"2026/7/1","サンプルコンビニ渋谷店","本人*","クレジットカード","1回","1280","0","1280","1280","0","0","2026/8/27"
"2026/7/2","スーパーマーケットみどり","本人*","クレジットカード","1回","4520","0","4520","4520","0","0","2026/8/27"
"2026/7/3","カフェ・ドリーム","本人*","クレジットカード","1回","680","0","680","680","0","0","2026/8/27"
"2026/7/4","ネット書店ブックス","本人*","クレジットカード","1回","2310","0","2310","2310","0","0","2026/8/27"
"2026/7/5","ガソリンスタンド東西","本人*","クレジットカード","1回","5400","0","5400","5400","0","0","2026/8/27"
"2026/7/6","ラーメン大将","本人*","クレジットカード","1回","950","0","950","950","0","0","2026/8/27"
"2026/7/7","ドラッグストアさくら","本人*","クレジットカード","1回","1875","0","1875","1875","0","0","2026/8/27"
"2026/7/8","動画配信サービス","本人*","クレジットカード","1回","1490","0","1490","1490","0","0","2026/8/27"
"2026/7/9","家電量販店ライト","本人*","クレジットカード","1回","18800","0","18800","18800","0","0","2026/8/27"
"2026/7/10","定食屋のどか","本人*","クレジットカード","1回","1100","0","1100","1100","0","0","2026/8/27"
"2026/7/12","チャージ","本人*","クレジットカード","1回","3000","0","3000","3000","0","0","2026/8/27"
"2026/7/13","パン工房こむぎ","本人*","クレジットカード","1回","540","0","540","540","0","0","2026/8/27"
"2026/7/14","衣料品店フィット","本人*","クレジットカード","1回","6980","0","6980","6980","0","0","2026/8/27"
"2026/7/16","居酒屋あかり","本人*","クレジットカード","1回","3860","0","3860","3860","0","0","2026/8/27"
"2026/7/18","携帯電話料金","本人*","クレジットカード","1回","7480","0","7480","7480","0","0","2026/8/27"
"2026/7/20","カー用品店ドライブ","本人*","クレジットカード","1回","2450","0","2450","2450","0","0","2026/8/27"
"2026/7/22","スーパーマーケットみどり","本人*","クレジットカード","1回","3980","0","3980","3980","0","0","2026/8/27"
"2026/7/24","雑貨店ハコ","本人*","クレジットカード","1回","1650","0","1650","1650","0","0","2026/8/27"
"2026/7/26","カフェ・ドリーム","本人*","クレジットカード","1回","720","0","720","720","0","0","2026/8/27"
"2026/7/28","定食屋のどか","本人*","クレジットカード","1回","1150","0","1150","1150","0","0","2026/8/27"
