日付,競馬場,R,レース名,式別,方式,買い目,購入金額,点数,オッズ,払戻金額
2026-07-26,中京,3,３歳未勝利,馬連,1軸流し,,100,3,,0
2026-07-26,中京,3,３歳未勝利,3連複,フォーメーション,,100,3,,0
2026-07-26,中京,5,３歳未勝利,3連複,1軸流し,,100,10,,860
2026-07-26,中京,6,木曽川特別(2勝クラス),馬連,フォーメーション,,500,1,,0
2026-07-26,中京,6,木曽川特別(2勝クラス),ワイド,フォーメーション,,500,1,,0
2026-07-26,新潟,7,関屋記念(GIII),3連複,フォーメーション,,100,15,,7490
2026-08-02,新潟,7,アイビスサマーダッシュ(GIII),3連複,フォーメーション,,100,18,,0
2026-08-02,札幌,11,クイーンステークス(GIII),3連複,フォーメーション,,100,18,,5560
2026-08-08,札幌,11,エルムステークス(GIII),3連複,フォーメーション,,100,15,,2950
2026-08-09,新潟,7,レパードステークス(GIII),ワイド,ボックス,,100,10,,0
2026-08-09,新潟,7,レパードステークス(GIII),馬単,通常,6→2,100,1,77.0,0
2026-08-09,新潟,7,レパードステークス(GIII),馬単,通常,6→11,200,1,28.4,0
2026-08-09,新潟,7,レパードステークス(GIII),馬単,通常,11→2,100,1,84.0,0
2026-08-09,新潟,7,レパードステークス(GIII),馬単,通常,11→6,200,1,27.1,0
2026-08-09,中京,7,ＣＢＣ賞(GIII),3連複,フォーメーション,,100,18,,19470
